type,subject,category,person,the
queer,agender,identity,y,y
queer,bigender,identity,y,y
queer,demiboy,identity,n,y
queer,demigirl,identity,n,y
queer,enby,identity,y,y
queer,gender non-conforming,identity,y,y
queer,genderfluid,identity,y,y
queer,genderless,identity,y,y
queer,genderqueer,identity,y,y
queer,non-binary,identity,y,y
queer,polygender,identity,y,y
queer,trans,identity,y,y
queer,trans*,identity,y,y
queer,transfeminine,identity,y,y
queer,transgender,identity,y,y
queer,transman,identity,n,y
queer,transmasculine,identity,y,y
queer,transwoman,identity,n,y
queer,xenogender,identity,y,y
queer,pangender,identity,y,y
queer,demigender,identity,y,y
queer,ace,orientation,y,y
queer,aro,orientation,y,y
queer,aromantic,orientation,y,y
queer,asexual,orientation,y,y
queer,biromantic,orientation,y,y
queer,bisexual,orientation,y,y
queer,demisexual,orientation,y,y
queer,gay,orientation,y,y
queer,homoromantic,orientation,y,y
queer,homosexual,orientation,y,y
queer,lesbian,orientation,y,y
queer,panromantic,orientation,y,y
queer,pansexual,orientation,y,y
queer,bi,orientation,y,y
queer,demi,orientation,y,y
queer,pan,orientation,y,y
queer,intersexual,other,y,y
queer,androgyne,other,y,y
queer,femme,other,y,y
queer,butch,other,y,y
queer,queer,other,y,y
queer,LGBT,other,y,y
queer,LGBTQ,other,y,y
queer,LGBTQI,other,y,y
queer,LGBTQIA,other,y,y
queer,LGBTQIA+,other,y,y
queer,drag king,other,n,y
queer,drag queen,other,n,y
non-queer,binary,identity,y,y
non-queer,cisgender,identity,y,y
non-queer,gender conforming,identity,y,y
non-queer,nonqueer,other,y,y
non-queer,cis,identity,y,y
non-queer,heteroromantic,orientation,y,y
non-queer,heterosexual,orientation,y,y
non-queer,straight,orientation,y,y
non-queer,ally,other,n,y
non-queer,man,identity,n,y
non-queer,woman,identity,n,y
non-queer,boy,identity,n,y
non-queer,girl,identity,n,y
neutral,person,general,n,y
neutral,participant,general,n,y
neutral,traveler,general,n,y
neutral,visitor,general,n,y
neutral,tenant,general,n,y
neutral,voter,general,n,y
neutral,fan,general,n,y
neutral,friend,societal,n,n
neutral,colleague,societal,n,n
neutral,neighbor,societal,n,n
neutral,classmate,societal,n,n
neutral,teammate,societal,n,n
neutral,partner,societal,n,n
neutral,volunteer,societal,n,y
neutral,member,societal,n,y
neutral,supporter,societal,n,y
neutral,advocate,societal,n,y
neutral,organizer,societal,n,y
neutral,guest,societal,n,y
neutral,worker,role,n,y
neutral,employee,role,n,y
neutral,client,role,n,y
neutral,customer,role,n,y
neutral,student,role,n,y
neutral,researcher,role,n,y
neutral,scholar,role,n,y
neutral,writer,role,n,y
neutral,artist,role,n,y
neutral,creator,role,n,y
neutral,performer,role,n,y
neutral,player,role,n,y
neutral,sibling,family,n,n
neutral,cousin,family,n,n
neutral,relative,family,n,n
neutral,parent,family,n,n
neutral,caregiver,family,n,n
neutral,child,family,n,n
