queerness;name;type
queer;agender;identity
queer;bigender;identity
queer;demiboy;identity
queer;demigirl;identity
queer;enby;identity
queer;gender non-conforming;identity
queer;genderfluid;identity
queer;genderless;identity
queer;genderqueer;identity
queer;non-binary;identity
queer;polygender;identity
queer;trans;identity
queer;trans*;identity
queer;transfeminine;identity
queer;transgender;identity
queer;transman;identity
queer;transmasculine;identity
queer;transwoman;identity
queer;xenogender;identity
queer;pangender;identity
queer;demigender;identity
queer;ace;orientation
queer;aro;orientation
queer;aromantic;orientation
queer;asexual;orientation
queer;biromantic;orientation
queer;bisexual;orientation
queer;demisexual;orientation
queer;gay;orientation
queer;homoromantic;orientation
queer;homosexual;orientation
queer;lesbian;orientation
queer;panromantic;orientation
queer;pansexual;orientation
queer;bi;orientation
queer;demi;orientation
queer;pan;orientation
queer;intersexual;other
queer;androgyne;other
queer;femme;other
queer;butch;other
queer;queer;other
queer;LGBT;other
queer;LGBTQ;other
queer;LGBTQI;other
queer;LGBTQIA;other
queer;LGBTQIA+;other
queer;drag king;other
queer;drag queen;other
non-queer;binary;identity
non-queer;cisgender;identity
non-queer;gender conforming;identity
non-queer;nonqueer;other
non-queer;cis;identity
non-queer;heteroromantic;orientation
non-queer;heterosexual;orientation
non-queer;straight;orientation
non-queer;ally;other
