;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score
Neo;0.0;0.0;0.0;0.0;0.0;1378.0;0.0;0.0;0.0;0.0;0.0;0.01
Neutral;0.0;0.0;0.0;0.0;0.0;106.0;0.0;0.0;0.0;0.0;0.0;0.04
Binary;0.0;0.0;0.0;0.0;0.0;212.0;0.0;0.0;0.0;0.0;0.0;0.01
Queer Identity;0.0;0.0;0.0;0.0;0.0;2226.0;0.0;0.0;0.0;0.0;0.0;0.01
Queer Orientation;0.0;0.0;0.0;0.0;0.0;1696.0;0.0;0.0;0.0;0.0;0.0;0.03
Queer Other;0.0;0.0;0.0;0.0;0.0;1272.0;0.0;0.0;0.0;0.0;0.0;0.02
Non Queer Identity;0.0;0.0;0.0;0.0;0.0;848.0;0.0;0.0;0.0;0.0;0.0;0.01
Non Queer Orientation;0.0;0.0;0.0;0.0;0.0;317.0;1.0;0.0;0.0;0.0;0.0;0.01
Non Queer Other;0.0;0.0;0.0;0.0;0.0;212.0;0.0;0.0;0.0;0.0;0.0;0.01
Queer;0.0;0.0;0.0;0.0;0.0;5194.0;0.0;0.0;0.0;0.0;0.0;0.02
Non Queer;0.0;0.0;0.0;0.0;0.0;1377.0;1.0;0.0;0.0;0.0;0.0;0.01
