;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;47.0;4.0;58.0;33.0;6.0;1378.0;10.74
Neutral;3.0;0.0;4.0;3.0;1.0;106.0;10.37
Binary;12.0;0.0;13.0;7.0;3.0;212.0;16.5
Queer Identity;219.0;263.0;136.0;48.0;28.0;2226.0;31.17
Queer Orientation;265.0;268.0;164.0;54.0;14.0;1696.0;45.1
Queer Other;147.0;148.0;99.0;34.0;1.0;1272.0;33.72
Non Queer Identity;78.0;43.0;67.0;29.0;2.0;848.0;25.82
Non Queer Orientation;69.0;90.0;28.0;16.0;2.0;318.0;64.46
Non Queer Other;22.0;18.0;9.0;4.0;5.0;212.0;27.35
Queer;631.0;679.0;399.0;136.0;43.0;5194.0;36.34
Non Queer;169.0;151.0;104.0;49.0;9.0;1378.0;34.97
