;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;2;0;8;42;21;1111;25;75;78;16;0;0.24;1.04
Neutral;0;0;1;3;1;89;1;6;5;0;0;0.16;0.92
Binary;0;0;0;6;2;174;4;12;10;4;0;0.28;1.0
Queer Identity;0;1;29;94;28;1870;16;76;110;2;0;0.08;0.94
Queer Orientation;0;1;26;73;15;1387;20;61;110;3;0;0.14;1.03
Queer Other;0;1;2;51;26;1062;16;43;71;0;0;0.13;0.91
Non Queer Identity;2;6;8;29;13;713;7;30;40;0;0;0.06;0.98
Non Queer Orientation;0;0;4;9;3;262;10;9;21;0;0;0.18;0.97
Non Queer Other;0;0;6;6;2;160;14;14;6;4;0;0.2;1.1
Queer;0;3;57;218;69;4319;52;180;291;5;0;0.11;0.97
Non Queer;2;6;18;44;18;1135;31;53;67;4;0;0.11;1.0
