;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;7.0;2.0;3.0;1.0;9.0;1378.0;1.59
Neutral;0.0;0.0;0.0;0.0;0.0;106.0;0.0
Binary;0.0;0.0;0.0;0.0;0.0;212.0;0.0
Queer Identity;59.0;50.0;21.0;0.0;16.0;2226.0;6.55
Queer Orientation;45.0;47.0;18.0;0.0;9.0;1696.0;7.01
Queer Other;38.0;31.0;13.0;2.0;10.0;1272.0;7.38
Non Queer Identity;15.0;4.0;6.0;1.0;8.0;848.0;4.0
Non Queer Orientation;8.0;16.0;3.0;0.0;1.0;318.0;8.8
Non Queer Other;4.0;3.0;0.0;0.0;3.0;212.0;4.71
Queer;142.0;128.0;52.0;2.0;35.0;5194.0;6.91
Non Queer;27.0;23.0;9.0;1.0;12.0;1378.0;5.22
