;Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Tot;Score
Neo;0.0;8.0;18.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1378.0;2.1
Neutral;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;106.0;1.88
Binary;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;212.0;2.35
Queer Identity;0.0;4.0;11.0;0.0;0.0;0.0;0.0;5.0;41.0;1.0;2226.0;2.78
Queer Orientation;0.0;5.0;7.0;0.0;0.0;28.0;0.0;1.0;49.0;0.0;1696.0;5.3
Queer Other;0.0;2.0;10.0;0.0;0.0;37.0;0.0;0.0;13.0;0.0;1272.0;4.87
Non Queer Identity;0.0;3.0;10.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;848.0;3.06
Non Queer Orientation;0.0;1.0;0.0;0.0;0.0;3.0;0.0;3.0;8.0;0.0;318.0;4.71
Non Queer Other;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;212.0;2.35
Queer;0.0;11.0;28.0;0.0;0.0;65.0;0.0;6.0;103.0;1.0;5194.0;4.12
Non Queer;0.0;5.0;11.0;0.0;0.0;3.0;0.0;4.0;23.0;0.0;1378.0;3.33
