;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;1.0;0.0;4.0;0.0;0.0;1378.0;0.36
Neutral;0.0;0.0;0.0;0.0;0.0;106.0;0.0
Binary;0.0;0.0;0.0;0.0;0.0;212.0;0.0
Queer Identity;27.0;64.0;5.0;0.0;0.0;2226.0;4.31
Queer Orientation;41.0;65.0;8.0;0.0;0.0;1696.0;6.72
Queer Other;14.0;39.0;2.0;0.0;0.0;1272.0;4.32
Non Queer Identity;5.0;12.0;0.0;0.0;0.0;848.0;2.0
Non Queer Orientation;5.0;19.0;0.0;0.0;0.0;318.0;7.54
Non Queer Other;1.0;3.0;0.0;0.0;0.0;212.0;1.88
Queer;82.0;168.0;15.0;0.0;0.0;5194.0;5.1
Non Queer;11.0;34.0;0.0;0.0;0.0;1378.0;3.26
