;Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Tot;Score
Neo;12.0;0.0;4.0;0.0;1.0;0.0;7.0;0.0;2.0;0.0;1378.0;1.88
Neutral;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;106.0;0.94
Binary;2.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;212.0;2.83
Queer Identity;3.0;0.0;5.0;0.0;7.0;4.0;0.0;0.0;8.0;0.0;2226.0;1.21
Queer Orientation;3.0;0.0;6.0;0.0;30.0;29.0;0.0;0.0;12.0;1.0;1696.0;4.77
Queer Other;0.0;0.0;2.0;0.0;4.0;7.0;0.0;0.0;5.0;0.0;1272.0;1.41
Non Queer Identity;0.0;0.0;0.0;0.0;7.0;2.0;0.0;0.0;8.0;0.0;848.0;2.0
Non Queer Orientation;0.0;0.0;0.0;0.0;7.0;11.0;0.0;0.0;5.0;0.0;318.0;7.23
Non Queer Other;0.0;0.0;0.0;0.0;0.0;11.0;0.0;1.0;0.0;0.0;212.0;5.66
Queer;6.0;0.0;13.0;0.0;41.0;40.0;0.0;0.0;25.0;1.0;5194.0;2.42
Non Queer;0.0;0.0;0.0;0.0;14.0;24.0;0.0;1.0;13.0;0.0;1378.0;3.77
