;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;7.0;0.0;7.0;47.0;57.0;1118.0;20.0;51.0;59.0;12.0;0.0;0.1;1.01
Neutral;0.0;0.0;0.0;3.0;5.0;87.0;0.0;6.0;3.0;2.0;0.0;0.16;0.96
Binary;2.0;0.0;1.0;3.0;7.0;171.0;4.0;9.0;11.0;4.0;0.0;0.21;1.13
Queer Identity;0.0;0.0;20.0;55.0;51.0;1911.0;14.0;96.0;70.0;9.0;0.0;0.1;0.84
Queer Orientation;0.0;0.0;5.0;30.0;20.0;1495.0;8.0;72.0;57.0;9.0;0.0;0.15;0.8
Queer Other;2.0;0.0;12.0;32.0;26.0;1058.0;11.0;64.0;59.0;8.0;0.0;0.16;0.97
Non Queer Identity;4.0;0.0;0.0;22.0;25.0;708.0;6.0;41.0;33.0;9.0;0.0;0.15;0.97
Non Queer Orientation;0.0;0.0;4.0;4.0;2.0;275.0;3.0;14.0;14.0;2.0;0.0;0.18;0.9
Non Queer Other;1.0;0.0;3.0;10.0;5.0;164.0;5.0;17.0;6.0;1.0;0.0;0.1;1.06
Queer;2.0;0.0;37.0;117.0;97.0;4464.0;33.0;232.0;186.0;26.0;0.0;0.13;0.86
Non Queer;5.0;0.0;7.0;36.0;32.0;1147.0;14.0;72.0;53.0;12.0;0.0;0.15;0.97
