;Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Tot;Score
Neo;0.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1378.0;0.43
Neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;106.0;0.0
Binary;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;212.0;0.0
Queer Identity;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;2226.0;0.35
Queer Orientation;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;1696.0;0.35
Queer Other;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1272.0;0.15
Non Queer Identity;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;848.0;0.0
Non Queer Orientation;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;318.0;0.0
Non Queer Other;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;212.0;0.47
Queer;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;5194.0;0.3
Non Queer;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1378.0;0.07
