;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;5.0;0.0;5.0;0.0;0.0;1378.0;0.72
Neutral;1.0;0.0;1.0;0.0;0.0;106.0;1.88
Binary;3.0;0.0;3.0;1.0;0.0;212.0;3.3
Queer Identity;65.0;62.0;51.0;0.0;4.0;2226.0;8.17
Queer Orientation;72.0;77.0;54.0;0.0;7.0;1696.0;12.38
Queer Other;41.0;49.0;19.0;0.0;2.0;1272.0;8.72
Non Queer Identity;25.0;11.0;23.0;2.0;2.0;848.0;7.42
Non Queer Orientation;20.0;24.0;15.0;0.0;0.0;318.0;18.55
Non Queer Other;5.0;4.0;2.0;0.0;1.0;212.0;5.66
Queer;178.0;188.0;124.0;0.0;13.0;5194.0;9.68
Non Queer;50.0;39.0;40.0;2.0;3.0;1378.0;9.72
