;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;0;0;0;4;17;1261;54;24;18;0;0;0.12;0.6
Neutral;0;0;0;0;2;94;7;0;3;0;0;0.22;0.67
Binary;0;0;0;0;5;188;11;3;5;0;0;0.17;0.7
Queer Identity;0;0;0;7;73;2038;90;14;4;0;0;0.01;0.49
Queer Orientation;0;0;0;10;43;1531;93;19;0;0;0;0.03;0.51
Queer Other;0;0;0;7;33;1152;69;11;0;0;0;0.04;0.51
Non Queer Identity;0;0;0;3;18;777;33;8;9;0;0;0.04;0.58
Non Queer Orientation;0;0;0;0;11;285;18;4;0;0;0;0.01;0.55
Non Queer Other;0;0;0;1;3;194;13;1;0;0;0;0.03;0.45
Queer;0;0;0;24;149;4721;252;44;4;0;0;0.02;0.5
Non Queer;0;0;0;4;32;1256;64;13;9;0;0;0.03;0.55
