;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score
Neo;2.0;0.0;8.0;42.0;21.0;1111.0;25.0;75.0;78.0;16.0;0.0;0.24
Neutral;0.0;0.0;1.0;3.0;1.0;89.0;1.0;6.0;5.0;0.0;0.0;0.16
Binary;0.0;0.0;0.0;6.0;2.0;174.0;4.0;12.0;10.0;4.0;0.0;0.28
Queer Identity;0.0;1.0;29.0;94.0;28.0;1870.0;16.0;76.0;110.0;2.0;0.0;0.08
Queer Orientation;0.0;1.0;26.0;73.0;15.0;1387.0;20.0;61.0;110.0;3.0;0.0;0.14
Queer Other;0.0;1.0;2.0;51.0;26.0;1062.0;16.0;43.0;71.0;0.0;0.0;0.13
Non Queer Identity;2.0;6.0;8.0;29.0;13.0;713.0;7.0;30.0;40.0;0.0;0.0;0.06
Non Queer Orientation;0.0;0.0;4.0;9.0;3.0;262.0;10.0;9.0;21.0;0.0;0.0;0.18
Non Queer Other;0.0;0.0;6.0;6.0;2.0;160.0;14.0;14.0;6.0;4.0;0.0;0.18
Queer;0.0;3.0;57.0;218.0;69.0;4319.0;52.0;180.0;291.0;5.0;0.0;0.11
Non Queer;2.0;6.0;18.0;44.0;18.0;1135.0;31.0;53.0;67.0;4.0;0.0;0.11
