;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;0;0;0;0;0;1378;0;0;0;0;0;0.0;0.06
Neutral;0;0;0;0;0;106;0;0;0;0;0;0.01;0.1
Binary;0;0;0;0;0;212;0;0;0;0;0;0.0;0.04
Queer Identity;0;0;0;0;0;2226;0;0;0;0;0;0.0;0.04
Queer Orientation;0;0;0;0;0;1696;0;0;0;0;0;0.0;0.05
Queer Other;0;0;0;0;0;1272;0;0;0;0;0;0.0;0.04
Non Queer Identity;0;0;0;0;0;848;0;0;0;0;0;0.0;0.04
Non Queer Orientation;0;0;0;0;0;318;0;0;0;0;0;0.0;0.07
Non Queer Other;0;0;0;0;0;212;0;0;0;0;0;0.01;0.09
Queer;0;0;0;0;0;5194;0;0;0;0;0;0.0;0.05
Non Queer;0;0;0;0;0;1378;0;0;0;0;0;0.0;0.06
