;Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Score
Neo;26.0;9.0;24.0;17.0;4.0;11.0;1.0;1.0;33.0;0.0;9.14
Neutral;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;7.54
Binary;4.0;2.0;3.0;2.0;0.0;1.0;0.0;1.0;4.0;0.0;8.01
Queer Identity;30.0;18.0;61.0;12.0;18.0;28.0;4.0;2.0;121.0;0.0;13.2
Queer Orientation;16.0;12.0;60.0;15.0;50.0;164.0;1.0;2.0;108.0;0.0;25.23
Queer Other;19.0;13.0;58.0;6.0;25.0;101.0;1.0;2.0;82.0;0.0;24.13
Non Queer Identity;11.0;6.0;26.0;3.0;8.0;12.0;2.0;0.0;46.0;0.0;13.44
Non Queer Orientation;5.0;0.0;10.0;3.0;6.0;41.0;2.0;0.0;17.0;0.0;4.95
Non Queer Other;4.0;0.0;6.0;1.0;0.0;1.0;0.0;0.0;6.0;0.0;8.49
Queer;65.0;43.0;179.0;33.0;93.0;293.0;6.0;6.0;311.0;0.0;19.81
Non Queer;20.0;6.0;42.0;7.0;14.0;54.0;4.0;0.0;69.0;0.0;15.67
