Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Score
0.0;8.0;18.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.1
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.88
0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.35
0.0;4.0;11.0;0.0;0.0;0.0;0.0;5.0;41.0;1.0;2.78
0.0;5.0;7.0;0.0;0.0;28.0;0.0;1.0;49.0;0.0;5.3
0.0;2.0;10.0;0.0;0.0;37.0;0.0;0.0;13.0;0.0;4.87
0.0;3.0;10.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;3.06
0.0;1.0;0.0;0.0;0.0;3.0;0.0;3.0;8.0;0.0;0.88
0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;2.35
0.0;11.0;28.0;0.0;0.0;65.0;0.0;6.0;103.0;1.0;4.12
0.0;5.0;11.0;0.0;0.0;3.0;0.0;4.0;23.0;0.0;3.33
