;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;5;2;30;47;18;1100;33;48;80;15;0;0.14;1.14
Neutral;0;1;2;5;1;82;2;6;6;1;0;0.14;1.19
Binary;1;0;4;7;3;170;2;10;13;2;0;0.16;1.14
Queer Identity;0;11;52;96;44;1838;12;58;111;4;0;0.01;1.03
Queer Orientation;0;10;41;82;26;1363;25;57;85;7;0;0.04;1.08
Queer Other;4;4;13;43;43;1017;35;36;70;7;0;0.11;1.05
Non Queer Identity;2;8;13;20;6;718;7;21;52;1;0;0.09;1.05
Non Queer Orientation;0;5;10;9;2;272;5;3;12;0;0;-0.07;1.02
Non Queer Other;0;0;5;9;8;153;14;11;10;2;0;0.15;1.11
Queer;4;25;106;221;113;4218;72;151;266;18;0;0.04;1.05
Non Queer;2;13;28;38;16;1143;26;35;74;3;0;0.06;1.06
