;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score
Neo;7.0;0.0;7.0;13.0;5.0;1189.0;19.0;78.0;26.0;34.0;0.0;0.21
Neutral;0.0;0.0;1.0;1.0;1.0;89.0;3.0;5.0;3.0;3.0;0.0;0.26
Binary;0.0;0.0;2.0;0.0;0.0;175.0;5.0;13.0;9.0;8.0;0.0;0.39
Queer Identity;0.0;2.0;33.0;73.0;5.0;1949.0;9.0;91.0;57.0;7.0;0.0;0.05
Queer Orientation;0.0;2.0;15.0;40.0;4.0;1496.0;10.0;73.0;54.0;2.0;0.0;0.11
Queer Other;2.0;0.0;7.0;41.0;21.0;1111.0;6.0;45.0;38.0;1.0;0.0;0.06
Non Queer Identity;2.0;0.0;5.0;21.0;0.0;731.0;9.0;42.0;29.0;9.0;0.0;0.17
Non Queer Orientation;0.0;0.0;0.0;6.0;0.0;283.0;6.0;14.0;9.0;0.0;0.0;0.15
Non Queer Other;0.0;0.0;2.0;10.0;2.0;180.0;0.0;14.0;3.0;1.0;0.0;0.15
Queer;2.0;4.0;55.0;154.0;30.0;4556.0;25.0;209.0;149.0;10.0;0.0;0.07
Non Queer;2.0;0.0;7.0;37.0;2.0;1194.0;15.0;70.0;41.0;10.0;0.0;0.15
