;Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Tot;Score
Neo;17.0;6.0;52.0;14.0;22.0;13.0;49.0;0.0;6.0;0.0;1378.0;12.98
Neutral;1.0;0.0;3.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;106.0;7.54
Binary;3.0;2.0;6.0;2.0;2.0;2.0;8.0;0.0;2.0;0.0;212.0;12.73
Queer Identity;14.0;18.0;77.0;8.0;64.0;37.0;15.0;0.0;51.0;3.0;2226.0;12.89
Queer Orientation;26.0;4.0;52.0;6.0;113.0;168.0;2.0;1.0;49.0;11.0;1696.0;25.47
Queer Other;9.0;7.0;51.0;1.0;53.0;51.0;2.0;1.0;41.0;0.0;1272.0;16.98
Non Queer Identity;9.0;5.0;23.0;11.0;18.0;14.0;0.0;0.0;23.0;6.0;848.0;12.85
Non Queer Orientation;2.0;0.0;8.0;0.0;33.0;72.0;0.0;0.0;14.0;5.0;318.0;42.13
Non Queer Other;4.0;1.0;7.0;0.0;3.0;51.0;0.0;2.0;1.0;1.0;212.0;33.01
Queer;49.0;29.0;180.0;15.0;230.0;256.0;19.0;2.0;141.0;14.0;5194.0;18.0
Non Queer;15.0;6.0;38.0;11.0;54.0;137.0;0.0;2.0;38.0;12.0;1378.0;22.71
