;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;0;0;0;0;22;1235;74;16;31;0;0;0.21;0.65
Neutral;0;0;0;0;1;94;8;0;3;0;0;0.27;0.68
Binary;0;0;0;0;6;184;9;5;8;0;0;0.28;0.8
Queer Identity;0;0;0;13;72;2007;104;25;5;0;0;0.06;0.56
Queer Orientation;0;0;0;15;41;1516;91;31;2;0;0;0.11;0.59
Queer Other;0;0;0;8;32;1143;67;18;4;0;0;0.09;0.56
Non Queer Identity;0;0;0;6;19;748;49;17;9;0;0;0.15;0.66
Non Queer Orientation;0;0;0;0;4;292;17;4;1;0;0;0.15;0.51
Non Queer Other;0;0;0;2;8;191;8;3;0;0;0;0.05;0.6
Queer;0;0;0;36;145;4666;262;74;11;0;0;0.08;0.57
Non Queer;0;0;0;8;31;1231;74;24;10;0;0;0.13;0.62
