;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score
Neo;0.0;0.0;0.0;0.0;22.0;1235.0;74.0;16.0;31.0;0.0;0.0;0.21
Neutral;0.0;0.0;0.0;0.0;1.0;94.0;8.0;0.0;3.0;0.0;0.0;0.27
Binary;0.0;0.0;0.0;0.0;6.0;184.0;9.0;5.0;8.0;0.0;0.0;0.28
Queer Identity;0.0;0.0;0.0;13.0;72.0;2007.0;104.0;25.0;5.0;0.0;0.0;0.06
Queer Orientation;0.0;0.0;0.0;15.0;41.0;1516.0;91.0;31.0;2.0;0.0;0.0;0.11
Queer Other;0.0;0.0;0.0;8.0;32.0;1143.0;67.0;18.0;4.0;0.0;0.0;0.09
Non Queer Identity;0.0;0.0;0.0;6.0;19.0;748.0;49.0;17.0;9.0;0.0;0.0;0.15
Non Queer Orientation;0.0;0.0;0.0;0.0;4.0;292.0;17.0;4.0;1.0;0.0;0.0;0.15
Non Queer Other;0.0;0.0;0.0;2.0;8.0;191.0;8.0;3.0;0.0;0.0;0.0;0.15
Queer;0.0;0.0;0.0;36.0;145.0;4666.0;262.0;74.0;11.0;0.0;0.0;0.08
Non Queer;0.0;0.0;0.0;8.0;31.0;1231.0;74.0;24.0;10.0;0.0;0.0;0.13
