Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Score
21.0;1.0;55.0;24.0;27.0;13.0;20.0;0.0;21.0;4.0;13.49
3.0;1.0;7.0;1.0;3.0;1.0;0.0;0.0;2.0;0.0;16.98
4.0;2.0;4.0;0.0;4.0;3.0;0.0;0.0;5.0;1.0;10.84
42.0;6.0;90.0;6.0;40.0;43.0;14.0;4.0;44.0;15.0;13.65
53.0;11.0;83.0;7.0;70.0;119.0;16.0;7.0;58.0;16.0;25.94
20.0;1.0;72.0;0.0;29.0;54.0;3.0;4.0;44.0;6.0;18.31
13.0;3.0;31.0;5.0;15.0;16.0;6.0;1.0;33.0;7.0;15.33
5.0;4.0;12.0;0.0;18.0;60.0;4.0;0.0;19.0;3.0;7.37
5.0;0.0;12.0;0.0;2.0;21.0;0.0;1.0;2.0;1.0;20.75
115.0;18.0;245.0;13.0;139.0;216.0;33.0;15.0;146.0;37.0;18.81
23.0;7.0;55.0;5.0;35.0;97.0;10.0;2.0;54.0;11.0;21.69
