;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score
Neo;0.0;0.0;0.0;4.0;22.0;1212.0;92.0;45.0;3.0;0.0;0.0;0.14
Neutral;0.0;0.0;0.0;1.0;1.0;94.0;4.0;6.0;0.0;0.0;0.0;0.13
Binary;0.0;0.0;0.0;0.0;2.0;188.0;10.0;10.0;2.0;0.0;0.0;0.19
Queer Identity;0.0;0.0;0.0;2.0;35.0;2021.0;143.0;25.0;0.0;0.0;0.0;0.09
Queer Orientation;0.0;0.0;0.0;0.0;16.0;1553.0;111.0;16.0;0.0;0.0;0.0;0.11
Queer Other;0.0;0.0;0.0;2.0;21.0;1149.0;81.0;19.0;0.0;0.0;0.0;0.1
Non Queer Identity;0.0;0.0;0.0;0.0;13.0;763.0;51.0;18.0;3.0;0.0;0.0;0.11
Non Queer Orientation;0.0;0.0;0.0;0.0;3.0;287.0;27.0;1.0;0.0;0.0;0.0;0.12
Non Queer Other;0.0;0.0;0.0;2.0;10.0;185.0;13.0;2.0;0.0;0.0;0.0;0.12
Queer;0.0;0.0;0.0;4.0;72.0;4723.0;335.0;60.0;0.0;0.0;0.0;0.1
Non Queer;0.0;0.0;0.0;2.0;26.0;1235.0;91.0;21.0;3.0;0.0;0.0;0.1
