;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;0;0;0;4;22;1212;92;45;3;0;0;0.14;0.62
Neutral;0;0;0;1;1;94;4;6;0;0;0;0.13;0.66
Binary;0;0;0;0;2;188;10;10;2;0;0;0.19;0.71
Queer Identity;0;0;0;2;35;2021;143;25;0;0;0;0.09;0.51
Queer Orientation;0;0;0;0;16;1553;111;16;0;0;0;0.11;0.47
Queer Other;0;0;0;2;21;1149;81;19;0;0;0;0.1;0.52
Non Queer Identity;0;0;0;0;13;763;51;18;3;0;0;0.11;0.59
Non Queer Orientation;0;0;0;0;3;287;27;1;0;0;0;0.12;0.45
Non Queer Other;0;0;0;2;10;185;13;2;0;0;0;0.03;0.61
Queer;0;0;0;4;72;4723;335;60;0;0;0;0.1;0.5
Non Queer;0;0;0;2;26;1235;91;21;3;0;0;0.1;0.57
