;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;50.0;3.0;22.0;6.0;38.0;1378.0;8.63
Neutral;3.0;0.0;0.0;0.0;4.0;106.0;6.6
Binary;10.0;0.0;2.0;0.0;7.0;212.0;8.96
Queer Identity;178.0;161.0;76.0;3.0;57.0;2226.0;21.33
Queer Orientation;131.0;140.0;50.0;1.0;28.0;1696.0;20.63
Queer Other;107.0;106.0;45.0;3.0;23.0;1272.0;22.32
Non Queer Identity;65.0;24.0;39.0;6.0;29.0;848.0;19.22
Non Queer Orientation;30.0;49.0;9.0;0.0;4.0;318.0;28.93
Non Queer Other;21.0;15.0;6.0;0.0;13.0;212.0;25.94
Queer;416.0;407.0;171.0;7.0;108.0;5194.0;21.35
Non Queer;116.0;88.0;54.0;6.0;46.0;1378.0;22.49
