;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;0;0;0;1;45;1203;96;32;1;0;0;0.1;0.58
Neutral;0;0;0;0;3;92;9;2;0;0;0;0.1;0.6
Binary;0;0;0;0;5;187;14;6;0;0;0;0.11;0.55
Queer Identity;0;0;0;1;44;2038;126;17;0;0;0;0.06;0.47
Queer Orientation;0;0;0;2;18;1567;88;21;0;0;0;0.12;0.46
Queer Other;0;0;0;5;29;1140;79;19;0;0;0;0.09;0.53
Non Queer Identity;0;0;0;1;27;750;54;16;0;0;0;0.1;0.57
Non Queer Orientation;0;0;0;1;3;293;14;7;0;0;0;0.11;0.51
Non Queer Other;0;0;0;0;7;187;16;2;0;0;0;0.08;0.57
Queer;0;0;0;8;91;4745;293;57;0;0;0;0.09;0.48
Non Queer;0;0;0;2;37;1230;84;25;0;0;0;0.1;0.56
