;Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Tot;Score
Neo;19.0;2.0;43.0;3.0;9.0;3.0;13.0;0.0;13.0;0.0;1378.0;7.61
Neutral;1.0;1.0;5.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;106.0;8.49
Binary;5.0;0.0;5.0;1.0;2.0;0.0;0.0;0.0;4.0;0.0;212.0;8.01
Queer Identity;31.0;18.0;44.0;0.0;5.0;51.0;10.0;1.0;46.0;24.0;2226.0;10.33
Queer Orientation;15.0;29.0;34.0;1.0;15.0;255.0;2.0;0.0;82.0;19.0;1696.0;26.65
Queer Other;18.0;16.0;20.0;1.0;1.0;223.0;1.0;1.0;70.0;5.0;1272.0;27.98
Non Queer Identity;8.0;6.0;21.0;3.0;9.0;14.0;4.0;0.0;21.0;1.0;848.0;10.25
Non Queer Orientation;2.0;2.0;3.0;0.0;3.0;61.0;0.0;0.0;15.0;4.0;318.0;28.3
Non Queer Other;4.0;1.0;4.0;0.0;2.0;1.0;0.0;1.0;0.0;1.0;212.0;6.6
Queer;64.0;63.0;98.0;2.0;21.0;529.0;13.0;2.0;198.0;48.0;5194.0;19.98
Non Queer;14.0;9.0;28.0;3.0;14.0;76.0;4.0;1.0;36.0;6.0;1378.0;13.86
