;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;0;0;11;30;41;1146;19;58;73;0;0;0.15;0.9
Neutral;0;0;0;6;4;86;0;5;4;1;0;0.09;0.97
Binary;0;0;0;6;8;170;4;9;13;2;0;0.23;0.99
Queer Identity;0;0;32;39;23;1938;21;111;62;0;0;0.1;0.81
Queer Orientation;0;0;12;25;14;1478;4;102;61;0;0;0.17;0.81
Queer Other;2;0;13;20;27;1078;3;60;69;0;0;0.16;0.93
Non Queer Identity;1;0;9;21;19;703;8;53;33;1;0;0.14;0.92
Non Queer Orientation;0;0;1;5;0;287;1;14;10;0;0;0.14;0.73
Non Queer Other;0;0;7;5;6;168;2;15;8;1;0;0.1;1.05
Queer;2;0;57;84;64;4494;28;273;192;0;0;0.14;0.84
Non Queer;1;0;17;31;25;1158;11;82;51;2;0;0.14;0.9
