;Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Tot;Score
Neo;6.0;13.0;58.0;2.0;0.0;1.0;9.0;3.0;14.0;0.0;1378.0;7.69
Neutral;1.0;1.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;106.0;7.54
Binary;2.0;2.0;10.0;0.0;0.0;0.0;1.0;1.0;4.0;0.0;212.0;9.43
Queer Identity;16.0;20.0;73.0;0.0;3.0;30.0;0.0;42.0;111.0;12.0;2226.0;13.79
Queer Orientation;6.0;18.0;35.0;0.0;3.0;178.0;0.0;6.0;171.0;10.0;1696.0;25.17
Queer Other;5.0;13.0;40.0;0.0;2.0;123.0;0.0;36.0;52.0;2.0;1272.0;21.46
Non Queer Identity;2.0;10.0;30.0;0.0;0.0;8.0;1.0;7.0;54.0;2.0;848.0;13.44
Non Queer Orientation;1.0;4.0;7.0;0.0;0.0;42.0;0.0;9.0;23.0;3.0;318.0;27.98
Non Queer Other;2.0;2.0;5.0;0.0;0.0;0.0;1.0;3.0;6.0;0.0;212.0;8.96
Queer;27.0;51.0;148.0;0.0;8.0;331.0;0.0;84.0;334.0;24.0;5194.0;19.38
Non Queer;5.0;16.0;42.0;0.0;0.0;50.0;2.0;19.0;83.0;5.0;1378.0;16.11
