;ALBERTbase[1];ALBERTbase[5];ALBERTlarge[1];ALBERTlarge[5];BERTbase[1];BERTbase[5];BERTlarge[1];BERTlarge[5];RoBERTabase[1];RoBERTabase[5];RoBERTalarge[1];RoBERTalarge[5];BERTweetbase[1];BERTweetbase[5];BERTweetlarge[1];BERTweetlarge[5]
Afinn Neo;2.4;2.4;4.2;4.2;3.0;2.8;2.0;2.0;2.8;1.4;4.8;3.8;0.0;0.2;0.0;0.0
Afinn Neutral;3.8;4.4;5.2;5.4;1.79;2.6;3.2;2.0;2.8;0.8;3.2;3.59;0.0;0.8;0.0;0.2
Afinn Binary;2.4;3.4;7.8;5.6;4.6;3.8;4.2;2.2;3.2;1.4;5.6;4.0;0.0;0.2;0.0;0.0
Hurtlex Neo;2.1;7.69;1.66;7.61;0.57;9.14;0.87;9.14;2.02;13.49;1.88;12.98;0.0;85.41;0.0;0.43
Hurtlex Neutral;1.88;7.54;0.94;8.49;4.71;8.49;0.0;7.54;3.77;16.98;0.94;7.54;0.0;86.79;0.0;0.0
Hurtlex Binary;2.35;9.43;0.94;8.01;0.0;8.96;1.41;8.01;0.94;10.84;2.83;12.73;0.0;87.73;0.0;0.0
Perspective Neo;0.72;7.47;2.52;7.47;1.59;8.63;2.52;16.03;6.38;10.74;1.3;5.87;0.5;1.88;0.0;0.36
Perspective Neutral;1.88;5.66;0.94;5.66;0.0;6.6;0.0;8.49;5.66;10.37;0.0;2.83;0.0;0.0;0.0;0.0
Perspective Binary;3.3;10.84;0.47;10.37;0.0;8.96;2.83;14.62;4.24;16.5;0.0;0.94;0.0;0.94;0.0;0.0
Total Neo;1.74;5.85;2.79;6.42;1.72;6.85;1.8;9.05;3.73;8.54;2.65;7.55;0.16;29.16;0.0;0.26
Total Neutral;2.52;5.86;2.36;6.51;2.17;5.89;1.06;6.01;4.07;9.38;1.38;4.65;0.0;29.19;0.0;0.06
Total Binary;2.68;7.89;3.07;7.99;1.53;7.24;2.81;8.27;2.79;9.58;2.81;5.89;0.0;29.62;0.0;0.0
