Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Score
1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;8.0;0.0;0.87
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.41
5.0;3.0;4.0;0.0;0.0;2.0;1.0;0.0;57.0;0.0;3.23
3.0;3.0;11.0;1.0;6.0;41.0;0.0;0.0;50.0;0.0;6.78
4.0;2.0;11.0;0.0;1.0;18.0;0.0;0.0;40.0;0.0;5.97
1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;2.83
1.0;0.0;2.0;0.0;1.0;14.0;0.0;0.0;9.0;0.0;1.59
2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.83
12.0;8.0;26.0;1.0;7.0;61.0;1.0;0.0;147.0;0.0;5.06
4.0;0.0;4.0;0.0;1.0;14.0;0.0;0.0;34.0;0.0;4.13
