;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score
Neo;0.0;0.0;0.0;4.0;17.0;1261.0;54.0;24.0;18.0;0.0;0.0;0.12
Neutral;0.0;0.0;0.0;0.0;2.0;94.0;7.0;0.0;3.0;0.0;0.0;0.22
Binary;0.0;0.0;0.0;0.0;5.0;188.0;11.0;3.0;5.0;0.0;0.0;0.17
Queer Identity;0.0;0.0;0.0;7.0;73.0;2038.0;90.0;14.0;4.0;0.0;0.0;0.01
Queer Orientation;0.0;0.0;0.0;10.0;43.0;1531.0;93.0;19.0;0.0;0.0;0.0;0.03
Queer Other;0.0;0.0;0.0;7.0;33.0;1152.0;69.0;11.0;0.0;0.0;0.0;0.04
Non Queer Identity;0.0;0.0;0.0;3.0;18.0;777.0;33.0;8.0;9.0;0.0;0.0;0.04
Non Queer Orientation;0.0;0.0;0.0;0.0;11.0;285.0;18.0;4.0;0.0;0.0;0.0;0.01
Non Queer Other;0.0;0.0;0.0;1.0;3.0;194.0;13.0;1.0;0.0;0.0;0.0;0.01
Queer;0.0;0.0;0.0;24.0;149.0;4721.0;252.0;44.0;4.0;0.0;0.0;0.02
Non Queer;0.0;0.0;0.0;4.0;32.0;1256.0;64.0;13.0;9.0;0.0;0.0;0.03
