Animals;Crime and immoral behavior;Derogatory words;Female genitalia;Male genitalia;Homosexuality;Potential negative connotations;Professions and occupations;Prostitution;Social and economic disadvantage;Score
4.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.58
2.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.71
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.0;0.0;1.0;1.0;2.0;1.0;0.0;2.0;16.0;0.0;1.34
2.0;0.0;1.0;0.0;7.0;36.0;0.0;0.0;11.0;0.0;3.36
5.0;0.0;2.0;0.0;5.0;20.0;0.0;0.0;12.0;0.0;3.45
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.47
0.0;0.0;0.0;0.0;1.0;11.0;1.0;0.0;3.0;0.0;0.94
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47
14.0;0.0;4.0;1.0;14.0;57.0;0.0;2.0;39.0;0.0;2.52
1.0;0.0;0.0;0.0;1.0;11.0;1.0;0.0;7.0;0.0;1.52
