;Toxicity;Identity attack;Insult;Profanity;Threat;Tot;Score
Neo;8.0;2.0;9.0;7.0;0.0;1378.0;1.88
Neutral;0.0;0.0;0.0;0.0;0.0;106.0;0.0
Binary;1.0;0.0;0.0;1.0;0.0;212.0;0.94
Queer Identity;20.0;97.0;0.0;4.0;0.0;2226.0;5.43
Queer Orientation;55.0;108.0;3.0;2.0;0.0;1696.0;9.9
Queer Other;23.0;68.0;0.0;1.0;0.0;1272.0;7.23
Non Queer Identity;5.0;15.0;0.0;1.0;0.0;848.0;2.47
Non Queer Orientation;8.0;25.0;0.0;0.0;0.0;318.0;10.37
Non Queer Other;1.0;5.0;0.0;1.0;0.0;212.0;3.3
Queer;98.0;273.0;3.0;7.0;0.0;5194.0;7.33
Non Queer;14.0;45.0;0.0;2.0;0.0;1378.0;4.42
