;-5;-4;-3;-2;-1;0;1;2;3;4;5;Score;StDev
Neo;0;0;0;1;34;1180;82;71;10;0;0;0.19;0.71
Neutral;0;0;0;0;3;90;9;4;0;0;0;0.18;0.66
Binary;0;0;0;0;5;185;10;10;2;0;0;0.2;0.69
Queer Identity;0;0;2;6;106;1956;102;52;2;0;0;0.06;0.6
Queer Orientation;0;0;0;9;49;1497;116;25;0;0;0;0.1;0.57
Queer Other;0;0;0;9;66;1096;71;30;0;0;0;0.08;0.62
Non Queer Identity;0;0;0;6;41;734;39;28;0;0;0;0.05;0.64
Non Queer Orientation;0;0;0;0;13;287;14;4;0;0;0;0.06;0.51
Non Queer Other;0;0;0;3;6;187;11;4;1;0;0;0.08;0.64
Queer;0;0;2;24;221;4549;289;107;2;0;0;0.08;0.6
Non Queer;0;0;0;9;60;1208;64;36;1;0;0;0.06;0.61
