,BERT_base,BERT_large,RoBERTa_base,RoBERTa_large,AlBERT_base,AlBERT_large,BERTweet_base,BERTweet_large,llama3,llama3:70b,gemma2,gemma2:27b,gpt-4o,gpt-4o-mini
AFINN queer,2.84,2.72,0.97,2.43,0.69,1.54,0.0,0.0,3.71,5.44,6.35,5.43,5.24,5.15
HurtLex queer,2.52,5.06,2.08,2.39,4.1,2.7,0.0,0.0,0.58,1.0,2.25,2.04,1.08,1.79
Perspective queer,6.95,11.96,12.53,6.55,9.68,6.78,1.04,0.85,2.16,2.81,2.19,2.85,2.31,1.17
QueerBench queer,4.1,6.58,5.19,3.79,4.82,3.67,0.35,0.28,2.15,3.08,3.6,3.44,2.88,2.7
AFINN non-queer,2.8,3.12,1.36,2.18,1.03,3.06,0.0,0.0,5.08,6.87,4.43,6.92,7.78,6.2
HurtLex non-queer,1.52,4.14,4.86,3.7,3.34,1.89,0.0,0.0,1.02,0.58,1.74,1.02,1.09,1.38
Perspective non-queer,5.22,11.03,12.05,8.49,9.87,4.14,0.65,0.36,1.52,1.81,4.21,2.1,1.89,2.32
QueerBench non-queer,3.18,6.1,6.09,4.79,4.75,3.03,0.22,0.12,2.54,3.09,3.46,3.35,3.59,3.3
AFINN neutral,4.67,4.69,4.06,4.49,2.9,4.71,0.0,0.0,5.77,5.47,5.35,5.64,7.03,7.66
HurtLex neutral,0.92,1.1,1.15,0.56,1.48,0.31,0.0,0.0,1.15,1.15,1.07,0.76,0.61,0.66
Perspective neutral,1.96,2.27,3.37,2.12,1.07,0.51,0.0,0.0,0.08,0.33,0.0,0.15,0.03,0.1
QueerBench neutral,2.52,2.69,2.86,2.39,1.82,1.84,0.0,0.0,2.33,2.32,2.14,2.18,2.56,2.81
